Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 3650,109,2010,111,38,98,213,5,0,0,little,strong,Harmful Algal Blooms and Hypoxia Research and Control Amendments Act of 2010
H R 4506,111,2010,111,129,4,216,1,0,0,strong,strong,Bankruptcy Judgeship Act of 2010
S 1147,124,2010,111,150,20,237,5,0,0,strong,strong,PACT Act
H R 3954,125,2010,111,171,1,247,0,0,0,strong,strong,Florida National Forest Land Adjustment Act of 2010
H R 4825,127,2010,111,171,0,242,1,0,0,strong,strong,To direct unused appropriations for Members' Representational Allowances to be deposited in the Treasury and used for deficit reduction or to reduce the Federal debt.
H R 4214,128,2010,111,173,0,246,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 45300 Portola Avenue in Palm Desert, California, as the ""Roy Wilson Post Office""."
H R 3542,133,2010,111,169,0,239,0,0,0,strong,strong,State Admission Day Recognition Act of 2009
H R 3509,134,2010,111,147,23,235,3,0,0,strong,strong,Agricultural Credit Act of 2010
H R 3671,137,2010,111,49,117,240,4,0,0,little,strong,Upper Mississippi River Basin Protection Act
H R 2788,138,2010,111,166,0,244,0,0,0,strong,strong,Distinguished Flying Cross National Memorial Act
H R 3644,142,2010,111,8,161,236,9,0,0,little,strong,"Ocean, Coastal, and Watershed Education Act"
H R 4003,143,2010,111,50,114,243,1,0,0,little,strong,Hudson River Valley Special Resource Study Act
H R 4395,144,2010,111,138,27,234,4,0,0,strong,strong,"To revise the boundaries of the Gettysburg National Military Park to include the Gettysburg Train Station, and for other purposes."
H R 1612,151,2010,111,58,114,230,2,0,0,little,strong,Public Lands Service Corps Act of 2010
H R 4887,152,2010,111,171,0,232,0,0,0,strong,strong,TRICARE Affirmation Act
H R 4840,155,2010,111,177,0,243,0,0,0,strong,strong,"An act to designate the facility of the United States Postal Service located at 1981 Cleveland Avenue in Columbus, Ohio, as the ""Clarence D. Lumpkin Post Office""."
H R 3976,176,2010,111,168,4,248,0,0,0,strong,strong,Helping Heroes Keep Their Homes Act of 2010
H R 4592,177,2010,111,152,19,245,0,0,0,strong,strong,Energy Jobs for Veterans Act
H R 4849,182,2010,111,4,171,242,7,0,0,little,strong,Small Business and Infrastructure Jobs Tax Act of 2010
H R 4098,183,2010,111,160,13,248,0,0,0,strong,strong,Secure Federal File Sharing Act
H R 1879,184,2010,111,171,1,245,0,0,0,strong,strong,National Guard Employment Protection Act of 2010
H R 4360,192,2010,111,171,0,246,0,0,0,strong,strong,"To designate the Department of Veterans Affairs blind rehabilitation center in Long Beach, California, as the ""Major Charles Robert Soltes, Jr., O.D. Department of Veterans Affairs Blind Rehabilitation Center""."
H R 4872,194,2010,111,0,175,220,32,0,0,none,strong,Health Care and Education Reconciliation Act of 2010
H R 3125,201,2010,111,150,18,244,0,0,0,strong,strong,Radio Spectrum Inventory Act
H R 4715,209,2010,111,38,126,240,2,0,0,little,strong,Clean Estuaries Act of 2010
H R 4851,211,2010,111,49,111,240,1,0,0,little,strong,Continuing Extension Act of 2010
S 1963,214,2010,111,174,0,245,0,0,0,strong,strong,Caregivers and Veterans Omnibus Health Services Act of 2010
H R 4543,221,2010,111,156,0,214,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 4285 Payne Avenue in San Jose, California, as the ""Anthony J. Cortese Post Office Building""."
H R 4861,223,2010,111,153,0,218,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 1343 West Irving Park Road in Chicago, Illinois, as the ""Steve Goodman Post Office Building""."
H R 5017,225,2010,111,108,62,244,0,0,0,moderate,strong,Rural Housing Preservation and Stabilization Act of 2010
H R 5146,226,2010,111,170,0,232,15,0,0,strong,strong,To provide that Members of Congress shall not receive a cost of living adjustment in pay during fiscal year 2011.
H R 5013,230,2010,111,170,3,247,0,0,0,strong,strong,Implementing Management for Performance and Related Reforms to Obtain Value in Every Acquisition Act of 2010
H R 5014,260,2010,111,171,0,246,0,0,0,strong,strong,To clarify the health care provided by the Secretary of Veterans Affairs that constitutes minimum essential coverage.
H R 4614,274,2010,111,124,32,233,0,0,0,strong,strong,Katie Sepich Enhanced DNA Collection Act of 2010
H R 1514,276,2010,111,119,44,245,1,0,0,strong,strong,Juvenile Accountability Block Grants Program Reauthorization Act of 2010
H R 5099,280,2010,111,163,1,247,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 15 South Main Street in Sharon, Massachusetts, as the ""Michael C. Rothberg Post Office""."
H R 5327,284,2010,111,166,1,244,3,0,0,strong,strong,United States-Israel Rocket and Missile Defense Cooperation and Support Act
H R 5128,290,2010,111,164,1,245,0,0,0,strong,strong,"To designate the United States Department of the Interior Building in Washington, District of Columbia, as the ""Stewart Lee Udall Department of the Interior Building""."
H R 1017,292,2010,111,146,6,219,0,0,0,strong,strong,Chiropractic Care Available to All Veterans Act
H R 5330,293,2010,111,150,4,216,0,0,0,strong,strong,"To amend the Antitrust Criminal Penalty Enhancement and Reform Act of 2004 to extend the operation of such Act, and for other purposes."
H R 5145,294,2010,111,165,2,248,0,0,0,strong,strong,Assuring Quality Care for Veterans Act
H R 3885,298,2010,111,159,4,244,0,0,0,strong,strong,Veterans Dog Training Therapy Act
H R 2711,299,2010,111,167,0,249,0,0,0,strong,strong,Special Agent Samuel Hicks Families of Fallen Heroes Act
H R 5136,336,2010,111,9,160,220,26,0,0,little,strong,National Defense Authorization Act for Fiscal Year 2011
H R 1061,337,2010,111,146,0,201,0,0,0,strong,strong,Hoh Indian Tribe Safe Homelands Act
H R 5278,345,2010,111,169,0,247,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 405 West Second Street in Dixon, Illinois, as the ""President Ronald W. Reagan Post Office Building""."
H R 5133,346,2010,111,165,0,244,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 331 1st Street in Carlstadt, New Jersey, as the ""Staff Sergeant Frank T. Carvill and Lance Corporal Michael A. Schwarz Post Office Building""."
H R 5072,353,2010,111,165,3,241,1,0,0,strong,strong,FHA Reform Act of 2010
S 3473,354,2010,111,165,0,245,0,0,0,strong,strong,A bill to amend the Oil Pollution Act of 1990 to authorize advances from Oil Spill Liability Trust Fund for the Deepwater Horizon oil spill.
H R 5502,357,2010,111,147,0,210,0,0,0,strong,strong,To amend the effective date of the gift card provisions of the Credit Card Accountability Responsibility and Disclosure Act of 2009.
H R 4855,360,2010,111,19,147,230,16,0,0,little,strong,Work-Life Balance Award Act
H R 5486,363,2010,111,5,162,242,8,0,0,little,strong,"To amend the Internal Revenue Code of 1986 to provide tax incentives for small business job creation, and for other purposes."
H R 5481,382,2010,111,169,1,251,0,0,0,strong,strong,To give subpoena power to the National Commission on the BP Deepwater Horizon Oil Spill and Offshore Drilling.
H R 3993,383,2010,111,133,41,248,0,0,0,strong,strong,Calling Card Consumer Protection Act
H R 5175,391,2010,111,2,170,217,36,0,0,little,strong,DISCLOSE Act
H R 3962,393,2010,111,170,0,247,1,0,0,strong,strong,Preservation of Access to Care for Medicare Beneficiaries and Pension Relief Act of 2010
H R 2194,394,2010,111,167,2,241,6,0,0,strong,strong,"Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010"
H R 5552,400,2010,111,170,1,242,5,0,0,strong,strong,Firearms Excise Tax Improvement Act of 2010
H R 5623,401,2010,111,165,5,244,0,0,0,strong,strong,Homebuyer Assistance and Improvement Act of 2010
H R 5395,403,2010,111,170,0,239,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 151 North Maitland Avenue in Maitland, Florida, as the ""Paula Hawkins Post Office Building""."
H R 4307,405,2010,111,171,0,246,0,0,0,strong,strong,"To name the Department of Veterans Affairs community-based outpatient clinic in Artesia, New Mexico, as the ""Alejandro Renteria Ruiz Department of Veterans Affairs Clinic""."
H R 4505,408,2010,111,171,0,249,0,0,0,strong,strong,To enable State homes to furnish nursing home care to parents any of whose children died while serving in the Armed Forces.
H R 1554,411,2010,111,175,0,246,1,0,0,strong,strong,Fountainhead Property Land Transfer Act
H R 4445,414,2010,111,169,0,242,0,0,0,strong,strong,Indian Pueblo Cultural Center Clarification Act
H R 2340,416,2010,111,173,0,237,0,0,0,strong,strong,Salmon Lake Land Selection Resolution Act
H R 5618,423,2010,111,29,142,241,11,0,0,little,strong,Restoration of Emergency Unemployment Compensation Act of 2010
H R 5609,425,2010,111,167,1,241,3,0,0,strong,strong,To amend the Lobbying Disclosure Act of 1995 to prohibit any person from performing lobbying activities on behalf of a client which is determined by the Secretary of State to be a State sponsor of terrorism.
H R 4514,434,2010,111,125,26,225,0,0,0,strong,strong,Colonel Charles Young Home Study Act
H R 4438,435,2010,111,39,113,225,1,0,0,little,strong,San Antonio Missions National Historical Park Boundary Expansion Act of 2010
H R 4773,436,2010,111,151,0,228,0,0,0,strong,strong,Fort Pulaski National Monument Lease Authorization Act
S 1508,442,2010,111,170,0,244,0,0,0,strong,strong,Improper Payments Elimination and Recovery Act of 2010
H R 5114,447,2010,111,85,89,244,1,0,0,moderate,strong,Flood Insurance Reform Priorities Act of 2010
H R 5604,452,2010,111,163,0,239,0,0,0,strong,strong,Surface Transportation Savings Act of 2010
H R 725,455,2010,111,78,92,248,0,0,0,moderate,strong,Indian Arts and Crafts Amendments Act of 2010
H R 4380,456,2010,111,129,42,249,1,0,0,strong,strong,United States Manufacturing Enhancement Act of 2010
H R 5566,459,2010,111,167,3,249,0,0,0,strong,strong,Animal Crush Video Prohibition Act of 2010
H R 1469,462,2010,111,167,4,246,0,0,0,strong,strong,Child Protection Improvements Act of 2009
H R 4213,463,2010,111,31,142,241,10,0,0,little,strong,Unemployment Compensation Extension Act of 2010
H R 5341,464,2010,111,165,0,246,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 100 Orndorf Drive in Brighton, Michigan, as the ""Joyce Rogers Post Office Building""."
H R 1320,467,2010,111,27,124,223,0,0,0,little,strong,Federal Advisory Committee Act Amendments of 2010
H R 3101,469,2010,111,128,23,220,0,0,0,strong,strong,Twenty-First Century Communications and Video Accessibility Act of 2010
H R 5730,471,2010,111,163,6,231,17,0,0,strong,strong,"Surface Transportation Earmark Rescission, Savings, and Accountability Act"
H R 4899,474,2010,111,160,12,148,102,0,0,strong,moderate,"Supplemental Appropriations Act, 2010"
H R 4748,475,2010,111,165,0,248,0,0,0,strong,strong,Northern Border Counternarcotics Strategy Act of 2010
H R 4692,477,2010,111,132,38,247,0,0,0,strong,strong,National Manufacturing Strategy Act of 2010
H R 5827,479,2010,111,168,1,139,112,0,0,strong,moderate,Protecting Gun Owners in Bankruptcy Act of 2010
H R 5822,482,2010,111,164,6,247,0,0,0,strong,strong,"Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2011"
H R 3040,487,2010,111,89,79,246,2,0,0,moderate,strong,Senior Financial Empowerment Act of 2010
H R 5850,499,2010,111,14,154,237,13,0,0,little,strong,"Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011"
H R 5901,502,2010,111,155,10,247,1,0,0,strong,strong,An act to amend the Internal Revenue Code of 1986 to authorize the tax court to appoint employees.
H R 5414,504,2010,111,162,0,246,0,0,0,strong,strong,"To provide for the conveyance of a small parcel of National Forest System land in the Francis Marion National Forest in South Carolina, and for other purposes."
H R 5851,506,2010,111,68,92,247,1,0,0,moderate,strong,Offshore Oil and Gas Worker Whistleblower Protection Act of 2010
H R 3534,513,2010,111,2,154,207,39,0,0,little,strong,"Consolidated Land, Energy, and Aquatic Resources Act of 2010"
H R 1586,518,2010,111,2,158,245,3,0,0,little,strong,FAA Air Transportation Modernization and Safety Improvement Act
H R 2039,521,2010,111,139,35,232,1,0,0,strong,strong,Congressional Made in America Promise Act of 2010
H R 5873,522,2010,111,174,0,237,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 218 North Milwaukee Street in Waterford, Wisconsin, as the ""Captain Rhett W. Schiller Post Office""."
H R 5366,524,2010,111,173,0,236,0,0,0,strong,strong,Overseas Contractor Reform Act
H R 4785,530,2010,111,6,167,234,5,0,0,little,strong,Rural Energy Savings Program Act
H R 5131,532,2010,111,1,168,214,6,0,0,little,strong,Coltsville National Historical Park Act
H R 3470,533,2010,111,106,64,218,0,0,0,moderate,strong,Nationally Enhancing the Wellbeing of Babies through Outreach and Research Now Act
H R 5110,537,2010,111,2,172,242,2,0,0,little,strong,Casa Grande Ruins National Monument Boundary Modification Act of 2010
H R 4823,538,2010,111,12,160,246,0,0,0,little,strong,Sedona-Red Rock National Scenic Area Act of 2010
H R 5297,539,2010,111,1,174,236,13,0,0,little,strong,Small Business Jobs Act of 2010
H R 5307,540,2010,111,166,3,246,0,0,0,strong,strong,Ultralight Smuggling Prevention Act of 2010
H R 5756,541,2010,111,147,24,246,0,0,0,strong,strong,Training and Research for Autism Improvements Nationwide Act of 2010
H R 3199,542,2010,111,165,5,247,0,0,0,strong,strong,EMT Act of 2010
H R 1745,543,2010,111,170,1,247,0,0,0,strong,strong,Family Health Care Accessibility Act of 2010
H R 5710,544,2010,111,140,31,244,1,0,0,strong,strong,National All Schedules Prescription Electronic Reporting Reauthorization Act of 2010
H R 3685,551,2010,111,174,0,251,0,0,0,strong,strong,To require the Secretary of Veterans Affairs to include on the main page of the Internet website of the Department of Veterans Affairs a hyperlink to the VetSuccess Internet website and to publicize such Internet website.
H R 5993,552,2010,111,109,64,249,2,0,0,moderate,strong,Securing America's Veterans Insurance Needs and Goals Act of 2010
H R 2378,554,2010,111,99,74,249,5,0,0,moderate,strong,Currency Reform for Fair Trade Act
H R 6160,555,2010,111,74,97,251,1,0,0,moderate,strong,Rare Earths and Critical Materials Revitalization Act of 2010
H R 4072,556,2010,111,161,10,251,0,0,0,strong,strong,AMERICA Works Act
H R 2701,558,2010,111,1,172,243,9,0,0,little,strong,Intelligence Authorization Act for Fiscal Year 2010
S 3729,561,2010,111,119,54,185,64,0,0,strong,strong,National Aeronautics and Space Administration Authorization Act of 2010
H R 946,562,2010,111,92,80,249,2,0,0,moderate,strong,Plain Writing Act of 2010
H R 512,563,2010,111,45,128,251,1,0,0,little,strong,Federal Election Integrity Act of 2010
H R 3081,564,2010,111,1,172,227,22,0,0,little,strong,"Continuing Appropriations Act, 2011"
H R 3940,565,2010,111,159,3,227,2,0,0,strong,strong,"To clarify the availability of existing funds for political status education in the Territory of Guam, and for other purposes."
S 3689,566,2010,111,164,0,221,0,0,0,strong,strong,"Copyright Cleanup, Clarification, and Corrections Act of 2010"
H R 3808,573,2010,111,169,5,16,230,0,0,strong,little,Interstate Recognition of Notarizations Act of 2010
H R 5758,574,2010,111,172,0,245,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 2 Government Center in Fall River, Massachusetts, as the ""Sergeant Robert Barrett Post Office Building""."
H R 1722,578,2010,111,14,149,240,3,0,0,little,strong,Telework Enhancement Act of 2010
H R 6419,579,2010,111,21,143,237,11,0,0,little,strong,Emergency Unemployment Compensation Continuation Act
S 3774,580,2010,111,127,32,239,8,0,0,strong,strong,A bill to extend the deadline for Social Services Block Grant expenditures of supplemental funds appropriated following disasters occurring in 2008.
H R 5877,581,2010,111,154,0,212,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 655 Centre Street in Jamaica Plain, Massachusetts, as the ""Lance Corporal Alexander Scott Arredondo, United States Marine Corps Post Office Building""."
H R 4783,584,2010,111,16,149,240,3,0,0,little,strong,Claims Resolution Act of 2010
H R 6469,601,2010,111,166,3,250,0,0,0,strong,strong,To amend section 17 of the Richard B. Russell National School Lunch Act to include a condition of receipt of funds under the child and adult care food program.
S 3307,603,2010,111,17,153,247,4,0,0,little,strong,"Healthy, Hunger-Free Kids Act of 2010"
H R 6400,608,2010,111,157,0,225,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 111 North 6th Street in St. Louis, Missouri, as the ""Earl Wilson, Jr. Post Office""."
H R 5987,611,2010,111,26,141,228,12,0,0,little,strong,Seniors Protection Act of 2010
H R 6495,616,2010,111,1,166,213,27,0,0,little,strong,Robert C. Byrd Mine Safety Protection Act of 2010
H R 4501,620,2010,111,85,81,239,0,0,0,moderate,strong,Guarantee of a Legitimate Deal Act of 2010
S 3998,624,2010,111,163,2,238,0,0,0,strong,strong,Criminal History Background Checks Pilot Extension Act of 2010
H R 5281,625,2010,111,8,160,208,38,0,0,little,strong,Removal Clarification Act of 2010
H R 4994,626,2010,111,166,1,243,1,0,0,strong,strong,Medicare and Medicaid Extenders Act of 2010
H R 6412,627,2010,111,151,1,220,0,0,0,strong,strong,Access to Criminal History Records for State Sentencing Commissions Act of 2010
S 1405,628,2010,111,153,0,211,0,0,0,strong,strong,Longfellow House-Washington's Headquarters National Historic Site Designation Act
S 3167,629,2010,111,1,154,200,13,0,0,little,strong,Census Oversight Efficiency and Management Reform Act of 2010
H R 6510,630,2010,111,153,0,210,0,0,0,strong,strong,"To direct the Administrator of General Services to convey a parcel of real property in Houston, Texas, to the Military Museum of Texas, and for other purposes."
H R 5446,631,2010,111,166,0,239,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 600 Florida Avenue in Cocoa, Florida, as the ""Harry T. and Harriette Moore Post Office""."
H R 6205,634,2010,111,165,0,234,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 1449 West Avenue in Bronx, New York, as the ""Private Isaac T. Cortes Post Office""."
H R 2965,638,2010,111,15,160,235,15,0,0,little,strong,"Don't Ask, Don't Tell Repeal Act of 2010"
S 841,640,2010,111,137,30,242,0,0,0,strong,strong,Pedestrian Safety Enhancement Act of 2010
S 3860,641,2010,111,164,3,243,0,0,0,strong,strong,A bill to require reports on the management of Arlington National Cemetery.
S 3447,642,2010,111,164,3,245,0,0,0,strong,strong,Post-9/11 Veterans Educational Assistance Improvements Act of 2010
S 987,645,2010,111,12,157,229,9,0,0,little,strong,International Protecting Girls by Preventing Child Marriage Act of 2010
H R 4853,647,2010,111,138,36,139,112,0,0,strong,moderate,"Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010"
H R 1107,649,2010,111,159,0,226,0,0,0,strong,strong,"To enact certain laws relating to public contracts as title 41, United States Code, ""Public Contracts""."
H R 6523,650,2010,111,154,6,187,42,0,0,strong,strong,Ike Skelton National Defense Authorization Act for Fiscal Year 2011
H R 628,651,2010,111,153,1,218,0,0,0,strong,strong,To establish a pilot program in certain United States district courts to encourage enhancement of expertise in patent cases among district judges.
H R 5510,655,2010,111,6,140,204,5,0,0,little,strong,Aiding Those Facing Foreclosure Act of 2010
S 3874,656,2010,111,31,108,195,1,0,0,little,strong,Reduction of Lead in Drinking Water Act
H R 6540,658,2010,111,122,21,203,2,0,0,strong,strong,Defense Level Playing Field Act
H R 5116,659,2010,111,16,130,212,0,0,0,little,strong,America COMPETES Reauthorization Act of 2010
H R 2142,660,2010,111,8,138,208,1,0,0,little,strong,GPRA Modernization Act of 2010
H R 2751,661,2010,111,10,136,205,8,0,0,little,strong,FDA Food Safety Modernization Act
H R 3082,662,2010,111,1,146,192,19,0,0,little,strong,"Continuing Appropriations and Surface Transportation Extensions Act, 2011"
H R 6547,663,2010,111,113,20,201,0,0,0,moderate,strong,Protecting Students from Sexual and Violent Predators Act
H R 847,664,2010,111,31,59,175,1,0,0,little,strong,James Zadroga 9/11 Health and Compensation Act of 2010
H R 292,12,2011,112,234,0,165,0,0,0,strong,strong,"To amend title 44, United States Code, to eliminate the mandatory printing of bills and resolutions for the use of offices of Members of Congress."
S 188,27,2011,112,238,0,191,0,0,0,strong,strong,"A bill to designate the United States courthouse under construction at 98 West First Street, Yuma, Arizona, as the ""John M. Roll United States Courthouse""."
H R 519,28,2011,112,236,2,23,167,0,0,strong,little,United Nations Tax Equalization Refund Act of 2011
H R 514,66,2011,112,211,26,68,117,0,0,strong,moderate,FISA Sunsets Extension Act of 2011
H R 394,148,2011,112,226,0,176,0,0,0,strong,strong,Federal Courts Jurisdiction and Venue Clarification Act of 2011
H R 347,149,2011,112,223,3,176,0,0,0,strong,strong,Federal Restricted Buildings and Grounds Improvement Act of 2011
H R 368,150,2011,112,220,4,176,0,0,0,strong,strong,Removal Clarification Act of 2011
H R 662,160,2011,112,232,3,189,1,0,0,strong,strong,Surface Transportation Extension Act of 2011
H R 570,163,2011,112,221,12,180,0,0,0,strong,strong,Dental Emergency Responder Act of 2011
H R 525,164,2011,112,95,138,185,0,0,0,moderate,strong,Veterinary Public Health Amendments Act of 2011
H R 830,171,2011,112,238,1,18,170,0,0,strong,little,FHA Refinance Program Termination Act
H R 836,174,2011,112,234,2,8,175,0,0,strong,little,Emergency Mortgage Relief Program Termination Act
H R 793,175,2011,112,228,0,166,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 12781 Sir Francis Drake Boulevard in Inverness, California, as the ""Specialist Jake Robert Velloza Post Office""."
H R 861,188,2011,112,237,2,5,180,0,0,strong,little,NSP Termination Act
H R 839,198,2011,112,234,2,18,168,0,0,strong,little,HAMP Termination Act of 2011
H R 471,204,2011,112,224,9,1,186,0,0,strong,little,Scholarships for Opportunity and Results Act
H R 872,206,2011,112,235,0,57,130,0,0,strong,little,Reducing Regulatory Burdens Act of 2011
H R 658,220,2011,112,221,11,2,185,0,0,strong,little,FAA Modernization and Reform Act of 2012
H R 1255,224,2011,112,221,15,0,187,0,0,strong,none,Government Shutdown Prevention Act of 2011
H R 1246,225,2011,112,226,0,167,0,0,0,strong,strong,To reduce the amounts otherwise authorized to be appropriated to the Department of Defense for printing and reproduction.
H R 910,249,2011,112,236,0,19,172,0,0,strong,little,Energy Tax Prevention Act of 2011
H R 1363,253,2011,112,208,28,140,42,0,0,strong,strong,"Department of Defense and Further Additional Continuing Appropriations Act, 2011"
H R 1308,254,2011,112,229,2,165,16,0,0,strong,strong,"To amend the Ronald Reagan Centennial Commission Act to extend the termination date for the Commission, and for other purposes."
S 307,255,2011,112,227,2,181,1,0,0,strong,strong,"A bill to designate the Federal building and United States courthouse located at 217 West King Street, Martinsburg, West Virginia, as the ""W. Craig Broadwater Federal Building and United States Courthouse""."
H R 1217,264,2011,112,232,0,4,183,0,0,strong,little,To repeal the Prevention and Public Health Fund.
H R 1473,268,2011,112,179,59,81,108,0,0,strong,moderate,SOAR Act
H R 1213,285,2011,112,233,0,5,183,0,0,strong,little,To repeal mandatory funding provided to States in the Patient Protection and Affordable Care Act to establish American Health Benefit Exchanges.
H R 1230,298,2011,112,233,2,33,147,0,0,strong,little,Restarting American Offshore Leasing Now Act
H R 1229,309,2011,112,235,0,28,163,0,0,strong,little,Restarting American Offshore Leasing Now Act
H R 1231,320,2011,112,222,9,21,170,0,0,strong,little,Reversing President Obama's Offshore Moratorium Act
H R 754,329,2011,112,223,3,169,12,0,0,strong,strong,Intelligence Authorization Act for Fiscal Year 2011
H R 1627,330,2011,112,217,0,163,0,0,0,strong,strong,"To amend title 38, United States Code, to provide for certain requirements for the placement of monuments in Arlington National Cemetery, and for other purposes."
H R 1657,332,2011,112,220,1,165,0,0,0,strong,strong,"To amend title 38, United States Code, to revise the enforcement penalties for misrepresentation of a business concern as a small business concern owned and controlled by veterans or as a small business concern owned and controlled by service-disabled veterans."
H R 1216,340,2011,112,231,4,3,181,0,0,strong,little,To amend the Public Health Service Act to convert funding for graduate medical education in qualified teaching health centers from direct appropriations to an authorization of appropriations.
S 990,376,2011,112,196,31,54,122,0,0,strong,little,PATRIOT Sunsets Extension Act of 2011
H R 1484,377,2011,112,234,1,185,0,0,0,strong,strong,Veterans Appeals Improvement Act of 2011
S 1082,378,2011,112,224,11,163,22,0,0,strong,strong,Small Business Additional Temporary Extension Act of 2011
H R 1954,379,2011,112,0,236,97,82,0,0,none,moderate,To implement the President's request to increase the statutory limit on the public debt.
H R 802,383,2011,112,222,11,186,0,0,0,strong,strong,"A bill to amend title 38, United States Code, to direct the Secretary of Veterans Affairs to establish a VetStar Award Program."
H R 2017,409,2011,112,214,20,17,168,0,0,strong,little,"Continuing Appropriations Act, 2012"
H R 1632,460,2011,112,224,0,172,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 5014 Gary Avenue in Lubbock, Texas, as the ""Sergeant Chris Davis Post Office""."
H R 771,461,2011,112,225,0,173,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 1081 Elbel Road in Schertz, Texas, as the ""Schertz Veterans Post Office""."
S 349,462,2011,112,225,0,172,0,0,0,strong,strong,"A bill to designate the facility of the United States Postal Service located at 4865 Tallmadge Road in Rootstown, Ohio, as the ""Marine Sgt. Jeremy E. Murray Post Office""."
H R 672,466,2011,112,235,0,0,187,0,0,strong,none,Election Support Consolidation and Efficiency Act
H R 2021,478,2011,112,230,2,23,164,0,0,strong,little,Jobs and Energy Permitting Act of 2011
H R 1249,491,2011,112,168,67,136,50,0,0,strong,strong,Leahy-Smith America Invents Act
H R 2278,494,2011,112,144,89,36,149,0,0,moderate,little,"To limit the use of funds appropriated to the Department of Defense for United States Armed Forces in support of North Atlantic Treaty Organization Operation Unified Protector with respect to Libya, unless otherwise specifically authorized by law."
H R 2219,532,2011,112,224,12,112,75,0,0,strong,moderate,"Department of Defense Appropriations Act, 2012"
H R 2417,563,2011,112,228,10,5,183,0,0,strong,little,Better Use of Light Bulbs Act
H R 2018,573,2011,112,223,13,16,171,0,0,strong,little,Clean Water Cooperative Federalism Act of 2011
H R 2354,600,2011,112,209,21,10,175,0,0,strong,little,"Energy and Water Development and Related Agencies Appropriations Act, 2012"
H R 33,601,2011,112,181,1,129,0,0,0,strong,strong,Church Plan Investment Clarification Act
H R 2560,606,2011,112,229,9,5,181,0,0,strong,little,"Cut, Cap, and Balance Act of 2011"
